Sample,Category,g__Anaerostipes,g__Prevotella,g__Parabacteroides,g__un_f_Ruminococcaceae,g__un_f_Lachnospiraceae,g__Phascolarctobacterium,g__Ruminococcus,g__Blautia,g__un_o_Clostridiales,g__Coprococcus,g__un_f_Barnesiellaceae,g__Odoribacter,g__Bilophila,g__Roseburia,g__un_f_Clostridiaceae,g__Lachnospira,g__Dorea,g__Butyricimonas,g__Desulfovibrio,g__Dialister,g__Megasphaera,g__Oscillospira,g__un_f_Rikenellaceae,g__Bifidobacterium,g__un_f_S24_7,g__Clostridium,g__Lactobacillus,g__Collinsella,g__Paraprevotella,g__Megamonas,g__Veillonella,g__Fusobacterium,g__Sutterella,g__Streptococcus,g__un_f_Enterobacteriaceae,g__Haemophilus,g__Bacteroides
ZR7_18,CHB,180,123159,924,4242,3819,10787,287,61,1098,179,959,863,198,5,3,0,183,609,129,1,0,3452,4288,4,436,222,0,18,0,0,189,3,1339,29,108,267,41516
ZR7_6,CHB,774,145,1182,11694,7682,6043,5872,192,1645,186,1228,500,91,2599,131,164,162,172,231,3016,0,697,732,15,13,11,0,177,181,0,2100,142,6791,721,2779,5873,96215
ZR7_9,CHB,0,97690,2560,9041,9520,8967,3345,1572,422,6,0,0,64,0,248,0,307,0,0,1,94,156,225,6,0,553,0,20,244,1641,264,8,3726,197,3237,504,26458
ZR8_48,CHB,14,46,920,3479,1229,2082,1218,146,172,13,2,114,401,13,1427,20,104,8,6,5,2,102,130,11,5587,2511,360,149,4,53288,707,12,813,178,7446,11667,24989
ZR8_51,CHB,55,39148,6778,6129,1978,622,369,105,941,127,3540,736,335,238,309,70,63,679,1549,1599,5546,2030,641,39,229,109,5,105,1403,9,109,3,2077,37,2483,318,39280
ZR4_12,DC,1,70,582,196,723,2905,2348,135,4,103,0,1,187,6,3,1,687,0,14,50,397,27,1,33,1,1,1,0,1,0,898,40,36,101,18140,0,2552
ZR4_23,DC,99,4356,783,8495,2944,3194,6920,2747,857,1788,68,215,14,210,559,800,659,11,59,272,1,319,409,898,0,116,1145,1306,12,4,886,1,264,1201,4485,3,6871
ZR4_26,DC,0,29,2185,318,1650,3401,1988,541,74,4,0,3,104,3,64,5,755,0,47,158,20,360,20,57,0,1,10,226,0,8,402,310,122,74,5305,366,22311
ZR4_27,DC,4,25,742,650,2720,858,3533,2367,12,185,0,40,0,1,367,5018,627,0,0,4,0,50,21,5,1,1,36,29,2,30177,2842,577,332,21,1002,301,18334
ZR4_28,DC,6,180,940,567,5618,13,332,4388,126,35,13,511,0,0,7,18,1321,186,0,0,3,193,50,2,269,3,1,0,1054,13,987,5,0,510,162,89,37400
ZR4_31,DC,0,90,1990,485,4934,15,833,723,335,568,0,1098,2,3,41,169,745,0,152,696,562,1003,0,15,0,0,404,193,7,2971,17043,1847,765,1580,80,58,64843
ZR4_33,DC,3,12931,180,1170,190,111,82,45,37,20,2,6,4,5,13,45,13,9,9,51,0,12,19,7,27,7,211,11,2,47,16772,489,22,3020,33048,4191,13367
ZR4_38,DC,1,548,19,255,430,111,187,30,62,13,4,2,2,26,492,41,86,0,7,81,412,7,5,33,0,92,58,10,49,4,11903,1575,28,2540,215403,696,930
ZR4_39,DC,1,7663,3175,11065,1842,12042,5398,1158,768,96,0,1,591,62,343,579,2980,114,350,5,9,443,173,107,319,629,609,176,1,331,5100,20672,1938,2556,59115,192,32652
ZR4_41,DC,4,50,352,10509,5035,208,1109,796,241,121,1,4,1,6,300,8344,2408,1,0,15,21,11,2,14,1,876,3,1,75,2069,21225,3426,168,2318,9533,10343,51031
ZR4_44,DC,362,28016,1936,10184,11775,3135,8970,9798,1216,1943,0,2,190,8338,141,3515,13053,0,0,0,1,649,74,11,14,964,1668,1005,0,1207,65,1,1,5685,280,470,30078
ZR4_46,DC,141,8,942,14152,11214,2737,2072,1319,333,939,249,122,124,4239,2660,3110,349,47,1,39,155,484,337,271,0,22,24,1,198,2,2226,47,1929,424,13686,7,34844
ZR4_59,DC,0,120,740,836,3999,712,1855,7359,2176,7978,0,0,304,87,81,1083,4379,7,154,11,74,110,6,7925,23,414,9,5871,1,2,897,96,9,6926,1241,696,5830
ZR4_63,DC,1,1468,16,154,114,98,233,46,12,11,0,0,2,6,22,6,120,1,0,5,0,12,1,8,2,12,7,3,0,10,197,98,17,2349,357,52,103934
ZR4_67,DC,13,32199,794,8760,6037,389,966,598,4149,385,891,1045,114,25,63,79,246,640,6,682,3741,342,281,1988,7,466,364,849,0,94,119,5,886,86,7765,4,9383
ZR4_69,DC,166,651,25,8885,3948,202,1975,621,266,85,22,3,79,1070,220,1327,374,2,163,390,21142,613,40,915,89,338,500,291,1,46,13184,71,3828,838,4997,534,7464
ZR4_77,DC,111,89,1,283,17490,1,8549,4268,1247,303,1,0,1,2258,2,0,204,0,0,6,1,2512,6,4,0,3,9,2,0,9,45,2,8120,26,7,21,114700
ZR7_1,DC,30,12,4903,4948,1707,6709,5271,69,1190,5,0,0,287,2765,2022,292,216,94,0,25,11,227,795,8,1,57,26,0,0,0,17755,466,83,1769,12831,3130,29099
ZR7_11,DC,0,10,3175,3244,4705,5984,952,109,1245,127,0,1066,634,1,1004,0,470,0,31,0,0,1071,7,0,0,75,0,0,0,254,52,1148,863,10,23664,1,99725
ZR7_12,DC,0,2906,0,0,1151,11,35154,0,5,0,0,0,0,2,0,1,8578,0,0,8,0,0,0,1,0,0,510,0,0,3,50207,14233,112,3021,38291,11,4780
ZR7_13,DC,0,94,4,5,121,3,1194,0,19,0,0,0,0,1,16,0,0,0,0,27,0,1,0,0,0,1,6,0,0,0,1890,3187,3196,1592,36555,99107,1954
ZR7_16,DC,42,0,2434,5985,799,2983,114,586,77,3,0,0,73,676,664,203,5,48,0,153,184,93,200,113,0,55,1,2,0,897,6357,2523,5179,83,27080,577,73640
ZR7_20,DC,1,112964,891,893,1216,28381,118,26,0,1,0,0,1,0,1,0,32,0,0,12,1457,274,0,74,0,19,0,31,0,2847,2602,4,705,4,2006,46,17929
ZR7_7,DC,53,346,328,11043,3233,552,2375,269,514,22,0,62,24,2083,1249,2074,999,3,0,10,4,261,23,3,0,20,0,19,0,3,31768,3586,993,1206,32635,31630,28600
ZR7_8,DC,34,29290,1777,1088,4669,12816,281,549,1064,36,0,270,177,1296,2,1952,82,233,0,4,2,1248,149,783,0,468,0,10,0,1,7738,1258,5481,91,157,1102,51187
